feature,cramers_v
OverTime,0.24481448317037538
JobRole,0.2307014845350407
MaritalStatus,0.17338643559557856
BusinessTravel,0.12287973746788898
EducationField,0.08661737787742169
Department,0.07737459353444216
Gender,0.013670630876739554
Over18,
